repayment_id,transaction_id,retailer_id,order_date,due_date,payment_date,amount_due,amount_paid,days_late,payment_status
REP_00000001,TXN_00000001,RTL_000001,2024-12-30,2025-01-29,2025-01-29,7344,7344,0,Paid On Time
REP_00000002,TXN_00000002,RTL_000001,2024-12-30,2025-01-29,2025-02-03,7046,7046,5,Paid (Slight Delay)
REP_00000003,TXN_00000003,RTL_000001,2024-12-30,2025-01-29,2025-02-03,4951,4951,5,Paid (Slight Delay)
REP_00000004,TXN_00000004,RTL_000001,2024-12-30,2025-01-29,2025-02-04,6089,6089,6,Paid (Slight Delay)
REP_00000005,TXN_00000005,RTL_000001,2024-12-30,2025-01-29,2025-02-04,4703,4703,6,Paid (Slight Delay)
REP_00000006,TXN_00000006,RTL_000001,2024-12-30,2025-01-29,2025-01-30,4131,4131,1,Paid (Slight Delay)
REP_00000007,TXN_00000007,RTL_000001,2024-12-30,2025-01-29,2025-01-31,4250,4250,2,Paid (Slight Delay)
REP_00000008,TXN_00000008,RTL_000001,2024-12-30,2025-01-29,2025-02-03,2627,2627,5,Paid (Slight Delay)
REP_00000009,TXN_00000009,RTL_000001,2024-12-30,2025-01-29,2025-02-04,4496,4496,6,Paid (Slight Delay)
REP_00000010,TXN_00000010,RTL_000001,2024-12-30,2025-01-29,2025-02-03,5325,5325,5,Paid (Slight Delay)
REP_00000011,TXN_00000011,RTL_000001,2024-12-30,2025-01-29,2025-01-30,6153,6153,1,Paid (Slight Delay)
REP_00000012,TXN_00000012,RTL_000005,2024-09-24,2024-10-24,2024-10-27,5886,5886,3,Paid (Slight Delay)
REP_00000013,TXN_00000013,RTL_000005,2024-09-27,2024-10-27,2024-10-30,2925,2925,3,Paid (Slight Delay)
REP_00000014,TXN_00000014,RTL_000005,2024-09-27,2024-10-27,2024-10-30,7380,7380,3,Paid (Slight Delay)
REP_00000015,TXN_00000015,RTL_000005,2024-09-29,2024-10-29,2024-10-30,5292,5292,1,Paid (Slight Delay)
REP_00000016,TXN_00000016,RTL_000005,2024-10-17,2024-11-16,2024-11-22,6344,6344,6,Paid (Slight Delay)
REP_00000017,TXN_00000017,RTL_000005,2024-10-17,2024-11-16,2024-11-21,7095,7095,5,Paid (Slight Delay)
REP_00000018,TXN_00000018,RTL_000005,2024-10-19,2024-11-18,2024-11-21,7565,7565,3,Paid (Slight Delay)
REP_00000019,TXN_00000019,RTL_000005,2024-10-22,2024-11-21,2024-11-26,6168,6168,5,Paid (Slight Delay)
REP_00000020,TXN_00000020,RTL_000005,2024-11-09,2024-12-09,2024-12-09,7124,7124,0,Paid On Time
REP_00000021,TXN_00000021,RTL_000005,2024-11-20,2024-12-20,2024-12-26,8131,8131,6,Paid (Slight Delay)
REP_00000022,TXN_00000022,RTL_000005,2024-11-26,2024-12-26,2025-01-01,6834,6834,6,Paid (Slight Delay)
REP_00000023,TXN_00000023,RTL_000005,2024-11-29,2024-12-29,2025-01-03,7434,7434,5,Paid (Slight Delay)
REP_00000024,TXN_00000024,RTL_000005,2024-11-30,2024-12-30,2025-01-04,5921,5921,5,Paid (Slight Delay)
REP_00000025,TXN_00000025,RTL_000005,2024-12-05,2025-01-04,2025-01-10,6236,6236,6,Paid (Slight Delay)
REP_00000026,TXN_00000026,RTL_000005,2024-12-10,2025-01-09,2025-01-11,5835,5835,2,Paid (Slight Delay)
REP_00000027,TXN_00000027,RTL_000005,2024-12-11,2025-01-10,2025-01-13,7417,7417,3,Paid (Slight Delay)
REP_00000028,TXN_00000028,RTL_000005,2024-12-16,2025-01-15,2025-01-15,5623,5623,0,Paid On Time
REP_00000029,TXN_00000029,RTL_000005,2024-12-20,2025-01-19,2025-01-23,6885,6885,4,Paid (Slight Delay)
REP_00000030,TXN_00000030,RTL_000005,2024-12-27,2025-01-26,2025-01-26,9153,9153,0,Paid On Time
REP_00000031,TXN_00000031,RTL_000008,2024-11-25,2024-12-25,2025-01-07,9864,9864,13,Paid Late
REP_00000032,TXN_00000032,RTL_000008,2024-11-27,2024-12-27,2025-01-06,12041,12041,10,Paid Late
REP_00000033,TXN_00000033,RTL_000008,2024-12-04,2025-01-03,2025-01-09,7763,7763,6,Paid (Slight Delay)
REP_00000034,TXN_00000034,RTL_000008,2024-12-04,2025-01-03,2025-01-07,9545,9545,4,Paid (Slight Delay)
REP_00000035,TXN_00000035,RTL_000008,2024-12-08,2025-01-07,2025-01-12,6297,6297,5,Paid (Slight Delay)
REP_00000036,TXN_00000036,RTL_000008,2024-12-08,2025-01-07,2025-01-20,3940,3940,13,Paid Late
REP_00000037,TXN_00000037,RTL_000008,2024-12-09,2025-01-08,2025-01-20,5776,5776,12,Paid Late
REP_00000038,TXN_00000038,RTL_000008,2024-12-09,2025-01-08,2025-01-13,11693,11693,5,Paid (Slight Delay)
REP_00000039,TXN_00000039,RTL_000008,2024-12-10,2025-01-09,2025-01-16,4676,4676,7,Paid (Slight Delay)
REP_00000040,TXN_00000040,RTL_000008,2024-12-12,2025-01-11,2025-01-17,8565,8565,6,Paid (Slight Delay)
REP_00000041,TXN_00000041,RTL_000008,2024-12-23,2025-01-22,2025-02-02,1000,1000,11,Paid Late
REP_00000042,TXN_00000042,RTL_000013,2024-12-14,2025-01-13,2025-01-16,18220,18220,3,Paid (Slight Delay)
REP_00000043,TXN_00000043,RTL_000013,2024-12-14,2025-01-13,2025-01-19,10018,10018,6,Paid (Slight Delay)
REP_00000044,TXN_00000044,RTL_000013,2024-12-15,2025-01-14,2025-01-17,14824,14824,3,Paid (Slight Delay)
REP_00000045,TXN_00000045,RTL_000013,2024-12-16,2025-01-15,2025-01-17,15978,15978,2,Paid (Slight Delay)
REP_00000046,TXN_00000046,RTL_000013,2024-12-17,2025-01-16,2025-01-22,21037,21037,6,Paid (Slight Delay)
REP_00000047,TXN_00000047,RTL_000013,2024-12-17,2025-01-16,2025-01-16,8990,8990,0,Paid On Time
REP_00000048,TXN_00000048,RTL_000013,2024-12-17,2025-01-16,2025-01-16,17229,17229,0,Paid On Time
REP_00000049,TXN_00000049,RTL_000013,2024-12-21,2025-01-20,2025-01-24,7253,7253,4,Paid (Slight Delay)
REP_00000050,TXN_00000050,RTL_000013,2024-12-23,2025-01-22,2025-01-25,19648,19648,3,Paid (Slight Delay)
REP_00000051,TXN_00000051,RTL_000013,2024-12-24,2025-01-23,2025-01-25,6743,6743,2,Paid (Slight Delay)
REP_00000052,TXN_00000052,RTL_000013,2024-12-24,2025-01-23,2025-01-25,12057,12057,2,Paid (Slight Delay)
