transaction_id,retailer_id,order_date,order_amount,num_products,product_categories,manufacturers,payment_method,credit_used,order_number
TXN_00000001,RTL_000001,2024-12-30,7344,4,Snacks|Frozen Foods|Dairy|Confectionery,Coca-Cola|PZ Cussons|Cadbury,BNPL,7344,1
TXN_00000002,RTL_000001,2024-12-30,7046,3,Confectionery|Frozen Foods|Beverages,Procter & Gamble|PZ Cussons|Unilever,BNPL,7046,2
TXN_00000003,RTL_000001,2024-12-30,4951,3,Personal Care|Confectionery|Frozen Foods,Coca-Cola|Procter & Gamble|Nigerian Breweries,BNPL,4951,3
TXN_00000004,RTL_000001,2024-12-30,6089,3,Baby Products|Beverages|Confectionery,Cadbury|PZ Cussons|Coca-Cola,BNPL,6089,4
TXN_00000005,RTL_000001,2024-12-30,4703,3,Household Items|Frozen Foods|Snacks,Nigerian Breweries|Procter & Gamble|PZ Cussons,BNPL,4703,5
TXN_00000006,RTL_000001,2024-12-30,4131,4,Grains & Pasta|Dairy|Beverages|Baby Products,Nigerian Breweries|Nestle|Cadbury,BNPL,4131,6
TXN_00000007,RTL_000001,2024-12-30,4250,3,Dairy|Confectionery|Cooking Ingredients,Procter & Gamble|Dangote|Unilever,BNPL,4250,7
TXN_00000008,RTL_000001,2024-12-30,2627,5,Household Items|Grains & Pasta|Cooking Ingredients|Personal Care|Frozen Foods,Chi Limited|Nigerian Breweries|Procter & Gamble,BNPL,2627,8
TXN_00000009,RTL_000001,2024-12-30,4496,1,Grains & Pasta,Cadbury,BNPL,4496,9
TXN_00000010,RTL_000001,2024-12-30,5325,2,Baby Products|Frozen Foods,Procter & Gamble|Coca-Cola,BNPL,5325,10
TXN_00000011,RTL_000001,2024-12-30,6153,3,Confectionery|Snacks|Grains & Pasta,Cadbury|Dangote|PZ Cussons,BNPL,6153,11
TXN_00000012,RTL_000005,2024-09-24,5886,5,Grains & Pasta|Confectionery|Personal Care|Cooking Ingredients|Beverages,Coca-Cola|Unilever|Dangote,BNPL,5886,1
TXN_00000013,RTL_000005,2024-09-27,2925,2,Snacks|Personal Care,Dangote|Cadbury,BNPL,2925,2
TXN_00000014,RTL_000005,2024-09-27,7380,4,Cooking Ingredients|Beverages|Household Items|Baby Products,PZ Cussons|Dangote|Chi Limited,BNPL,7380,3
TXN_00000015,RTL_000005,2024-09-29,5292,4,Frozen Foods|Cooking Ingredients|Baby Products|Personal Care,Nigerian Breweries|Chi Limited|Dangote,BNPL,5292,4
TXN_00000016,RTL_000005,2024-10-17,6344,5,Snacks|Confectionery|Frozen Foods|Dairy|Household Items,Chi Limited|Cadbury|Flour Mills,BNPL,6344,5
TXN_00000017,RTL_000005,2024-10-17,7095,1,Household Items,Dangote,BNPL,7095,6
TXN_00000018,RTL_000005,2024-10-19,7565,2,Snacks|Dairy,Flour Mills|Chi Limited,BNPL,7565,7
TXN_00000019,RTL_000005,2024-10-22,6168,2,Frozen Foods|Household Items,Flour Mills|Chi Limited,BNPL,6168,8
TXN_00000020,RTL_000005,2024-11-09,7124,1,Personal Care,Nigerian Breweries,BNPL,7124,9
TXN_00000021,RTL_000005,2024-11-20,8131,1,Beverages,Flour Mills,BNPL,8131,10
TXN_00000022,RTL_000005,2024-11-26,6834,3,Baby Products|Dairy|Frozen Foods,Coca-Cola|Cadbury|Procter & Gamble,BNPL,6834,11
TXN_00000023,RTL_000005,2024-11-29,7434,1,Personal Care,Unilever,BNPL,7434,12
TXN_00000024,RTL_000005,2024-11-30,5921,4,Household Items|Confectionery|Frozen Foods|Personal Care,Nestle|Nigerian Breweries|Coca-Cola,BNPL,5921,13
